"pop","Cntrl_values","X","values","conc","experiment","gene","viability","mean_value","mean_normalized","viability_normalized"
"REF",1.2095,1,1.625,0,"EXP_piloto","GSH1",134.353038445639,100,99.4889870699696,133.666477047293
"REF",1.2095,11,1.808,4,"EXP_piloto","GSH1",149.48325754444,100.343815666845,100,148.971071661003
"REF",1.2095,21,1.403,25.6,"EXP_piloto","GSH1",115.998346424142,99.5455999011903,98.8136125937869,115.145377359246
"REF",1.2095,31,0.538,160,"EXP_piloto","GSH1",44.4811905746176,57.1394587303554,35.7854014309732,27.8577588274332
"REF",1.2095,41,0.33,400,"EXP_piloto","GSH1",27.2840016535759,33.0626087461982,0,0
"REF",1.2095,51,0.358,1000,"EXP_piloto","GSH1",29.5990078544853,34.9747692623773,2.8420425311846,2.40520926878007
"REF",1.2095,241,0.794,0,"EXP_piloto","PGPA",65.6469615543613,100,99.4889870699696,65.3114970926464
"REF",1.2095,245,0.705,4,"EXP_piloto","PGPA",58.2885489871848,100.343815666845,100,58.0888304872825
"REF",1.2095,249,0.721,25.6,"EXP_piloto","PGPA",59.6114096734188,99.5455999011903,98.8136125937869,59.1730699045021
"REF",1.2095,253,0.206,160,"EXP_piloto","PGPA",17.0318313352625,57.1394587303554,35.7854014309732,10.66672549898
"REF",1.2095,257,0.18,400,"EXP_piloto","PGPA",14.8821827201323,33.0626087461982,0,0
"REF",1.2095,261,0.269,1000,"EXP_piloto","PGPA",22.2405952873088,34.9747692623773,2.8420425311846,1.80726618240737
"REF",1.4285,61,1.133,0,"EXP1","GSH1",79.3139656982849,100,99.4889870699696,78.9086610782468
"REF",1.4285,71,1.225,4,"EXP1","GSH1",85.7542877143857,100.343815666845,100,85.4604612596171
"REF",1.4285,81,1.361,25.6,"EXP1","GSH1",95.2747637381869,99.5455999011903,98.8136125937869,94.5741811123207
"REF",1.4285,91,0.181,160,"EXP1","GSH1",12.6706335316766,57.1394587303554,35.7854014309732,7.93538681308711
"REF",1.4285,101,0.155,400,"EXP1","GSH1",10.8505425271264,33.0626087461982,0,0
"REF",1.4285,111,0.182,1000,"EXP1","GSH1",12.7406370318516,34.9747692623773,2.8420425311846,1.03530153543739
"REF",1.4285,265,1.724,0,"EXP1","PGPA",120.686034301715,100,99.4889870699696,120.069313061692
"REF",1.4285,269,1.691,4,"EXP1","PGPA",118.37591879594,100.343815666845,100,117.970318359194
"REF",1.4285,273,1.729,25.6,"EXP1","PGPA",121.03605180259,99.5455999011903,98.8136125937869,120.146039047173
"REF",1.4285,277,1.197,160,"EXP1","PGPA",83.7941897094855,57.1394587303554,35.7854014309732,52.4787735650014
"REF",1.4285,281,0.571,400,"EXP1","PGPA",39.97199859993,33.0626087461982,0,0
"REF",1.4285,285,0.279,1000,"EXP1","PGPA",19.5309765488274,34.9747692623773,2.8420425311846,1.58708312300567
"REF",0.8725,121,0.633,0,"EXP2","GSH1",72.5501432664756,100,99.4889870699696,72.1794026536283
"REF",0.8725,131,0.6,4,"EXP2","GSH1",68.7679083094556,100.343815666845,100,68.5322835816552
"REF",0.8725,141,0.721,25.6,"EXP2","GSH1",82.6361031518625,99.5455999011903,98.8136125937869,82.0284562171865
"REF",0.8725,151,0.731,160,"EXP2","GSH1",83.7822349570201,57.1394587303554,35.7854014309732,52.4712865214506
"REF",0.8725,161,0.264,400,"EXP2","GSH1",30.2578796561605,33.0626087461982,0,0
"REF",0.8725,171,0.312,1000,"EXP2","GSH1",35.7593123209169,34.9747692623773,2.8420425311846,2.90579433818548
"REF",0.8725,289,1.112,0,"EXP2","PGPA",127.449856733524,100,99.4889870699696,126.79857148631
"REF",0.8725,293,0.85,4,"EXP2","PGPA",97.4212034383954,100.343815666845,100,97.0874017406782
"REF",0.8725,297,0.85,25.6,"EXP2","PGPA",97.4212034383954,99.5455999011903,98.8136125937869,96.7048374266415
"REF",0.8725,301,0.468,160,"EXP2","PGPA",53.6389684813754,57.1394587303554,35.7854014309732,33.5931081970436
"REF",0.8725,305,0.354,400,"EXP2","PGPA",40.5730659025788,33.0626087461982,0,0
"REF",0.8725,309,0.467,1000,"EXP2","PGPA",53.5243553008596,34.9747692623773,2.8420425311846,4.34937806388659
"REF",0.734,181,0.275,0,"EXP3","GSH1",37.4659400544959,100,99.4889870699696,37.27448425646
"REF",0.734,191,0.571,4,"EXP3","GSH1",77.7929155313351,100.343815666845,100,77.5263677331327
"REF",0.734,201,0.607,25.6,"EXP3","GSH1",82.6975476839237,99.5455999011903,98.8136125937869,82.0894489300049
"REF",0.734,211,0.499,160,"EXP3","GSH1",67.983651226158,57.1394587303554,35.7854014309732,42.5769215167399
"REF",0.734,221,0.267,400,"EXP3","GSH1",36.3760217983651,33.0626087461982,0,0
"REF",0.734,231,0.316,1000,"EXP3","GSH1",43.0517711171662,34.9747692623773,2.8420425311846,3.49837803474602
"REF",0.734,313,1.193,0,"EXP3","PGPA",162.534059945504,100,99.4889870699696,161.703489883479
"REF",0.734,317,1.078,4,"EXP3","PGPA",146.866485013624,100.343815666845,100,146.363265177438
"REF",0.734,321,1.04,25.6,"EXP3","PGPA",141.689373297003,99.5455999011903,98.8136125937869,140.647490753221
"REF",0.734,325,0.688,160,"EXP3","PGPA",93.732970027248,57.1394587303554,35.7854014309732,58.7032505080502
"REF",0.734,329,0.472,400,"EXP3","PGPA",64.3051771117166,33.0626087461982,0,0
"REF",0.734,333,0.465,1000,"EXP3","PGPA",63.3514986376022,34.9747692623773,2.8420425311846,5.14792970302817
"GSH1",1.432,2,1.432,0,"EXP_piloto","GSH1",100,100,59.2774656508175,59.2774656508175
"GSH1",1.432,12,1.621,4,"EXP_piloto","GSH1",113.198324022346,107.160433403251,67.1469994449104,70.9303570254379
"GSH1",1.432,22,1.312,25.6,"EXP_piloto","GSH1",91.6201117318436,137.053147346263,100,66.8500603640766
"GSH1",1.432,32,0.684,160,"EXP_piloto","GSH1",47.7653631284916,83.5889327853766,41.2412043284268,23.5665301010788
"GSH1",1.432,42,0.36,400,"EXP_piloto","GSH1",25.1396648044693,46.0638512760718,0,0
"GSH1",1.432,52,0.356,1000,"EXP_piloto","GSH1",24.8603351955307,56.1919530796583,11.1310915030856,4.92459597313779
"GSH1",1.025,62,1.025,0,"EXP1","GSH1",100,100,59.2774656508175,59.2774656508175
"GSH1",1.025,72,0.998,4,"EXP1","GSH1",97.3658536585366,107.160433403251,67.1469994449104,61.0096909272546
"GSH1",1.025,82,1.278,25.6,"EXP1","GSH1",124.682926829268,137.053147346263,100,90.9741434206237
"GSH1",1.025,92,0.301,160,"EXP1","GSH1",29.3658536585366,83.5889327853766,41.2412043284268,14.4885588397207
"GSH1",1.025,102,0.162,400,"EXP1","GSH1",15.8048780487805,46.0638512760718,0,0
"GSH1",1.025,112,0.235,1000,"EXP1","GSH1",22.9268292682927,56.1919530796583,11.1310915030856,4.54158683716178
"GSH1",0.588,122,0.588,0,"EXP2","GSH1",100,100,59.2774656508175,59.2774656508175
"GSH1",0.588,132,0.62,4,"EXP2","GSH1",105.442176870748,107.160433403251,67.1469994449104,66.0703355422923
"GSH1",0.588,142,0.661,25.6,"EXP2","GSH1",112.414965986395,137.053147346263,100,82.0228999939564
"GSH1",0.588,152,0.553,160,"EXP2","GSH1",94.0476190476191,83.5889327853766,41.2412043284268,46.4013230519848
"GSH1",0.588,162,0.295,400,"EXP2","GSH1",50.1700680272109,46.0638512760718,0,0
"GSH1",0.588,172,0.355,1000,"EXP2","GSH1",60.3741496598639,56.1919530796583,11.1310915030856,11.9595448717053
