"pop","Cntrl_values","X","values","conc","experiment","viability","mean_value"
"C44",1.52,5,1.52,"0","EXP_piloto",100,100
"C44",1.52,15,1.349,"4","EXP_piloto",88.75,103.639971902657
"C44",1.52,25,1.028,"25.6","EXP_piloto",67.6315789473684,86.2375950695492
"C44",1.52,35,0.415,"160","EXP_piloto",27.3026315789474,55.109878756691
"C44",1.52,45,0.288,"400","EXP_piloto",18.9473684210526,36.2365142696512
"C44",1.52,55,0.356,"1000","EXP_piloto",23.4210526315789,42.5182305529804
"C58",1.577,6,1.577,"0","EXP_piloto",100,100
"C58",1.577,16,1.452,"4","EXP_piloto",92.0735573874445,100.985033256516
"C58",1.577,26,1.297,"25.6","EXP_piloto",82.2447685478757,101.182583238816
"C58",1.577,36,0.471,"160","EXP_piloto",29.8668357641091,65.9231505977377
"C58",1.577,46,0.305,"400","EXP_piloto",19.3405199746354,44.0219223928168
"C58",1.577,56,0.326,"1000","EXP_piloto",20.6721623335447,48.7156212285475
"C6",1.423,4,1.423,"0","EXP_piloto",100,100
"C6",1.423,14,1.406,"4","EXP_piloto",98.805340829234,99.5383195443757
"C6",1.423,24,1.213,"25.6","EXP_piloto",85.2424455375966,92.5054484259347
"C6",1.423,34,0.479,"160","EXP_piloto",33.6612789880534,54.4923030545079
"C6",1.423,44,0.319,"400","EXP_piloto",22.4174279690794,32.654129740229
"C6",1.423,54,0.35,"1000","EXP_piloto",24.5959241040056,40.4606103967734
"C67",1.363,7,1.363,"0","EXP_piloto",100,100
"C67",1.363,17,1.2,"4","EXP_piloto",88.0410858400587,108.390999610193
"C67",1.363,27,1.144,"25.6","EXP_piloto",83.9325018341893,111.461651507423
"C67",1.363,37,0.448,"160","EXP_piloto",32.8686720469552,67.902088609908
"C67",1.363,47,0.31,"400","EXP_piloto",22.7439471753485,50.9993393919095
"C67",1.363,57,0.317,"1000","EXP_piloto",23.2575201760822,52.8910132117775
"C7",1.139,3,1.139,"0","EXP_piloto",100,100
"C7",1.139,13,1.16,"4","EXP_piloto",109.659111925796,109.659111925796
"C7",1.139,23,1.016,"25.6","EXP_piloto",89.2010535557506,100.395249714826
"C7",1.139,33,0.492,"160","EXP_piloto",43.1957857769974,63.5224735816521
"C7",1.139,43,0.343,"400","EXP_piloto",30.1141352063213,43.1907428413261
"C7",1.139,53,0.355,"1000","EXP_piloto",31.1676909569798,55.852634209666
"C73",1.351,8,1.351,"0","EXP_piloto",100,100
"C73",1.351,18,1.188,"4","EXP_piloto",87.9348630643967,97.1033929073668
"C73",1.351,28,1.324,"25.6","EXP_piloto",98.0014803849001,106.342824507057
"C73",1.351,38,0.502,"160","EXP_piloto",37.1576609918579,65.624145289373
"C73",1.351,48,0.303,"400","EXP_piloto",22.4278312361214,43.6430796115441
"C73",1.351,58,0.338,"1000","EXP_piloto",25.0185048112509,45.6317834061689
"C85",0.499,9,0.499,"0","EXP_piloto",100,100
"C85",0.499,19,0.454,"4","EXP_piloto",90.9819639278557,113.341558591356
"C85",0.499,29,0.453,"25.6","EXP_piloto",90.7815631262525,108.06130619974
"C85",0.499,49,0.406,"400","EXP_piloto",81.3627254509018,54.177363690308
"C85",0.499,59,0.422,"1000","EXP_piloto",84.5691382765531,59.0986712461663
"C89",1.348,10,1.348,"0","EXP_piloto",100,100
"C89",1.348,20,1.13,"4","EXP_piloto",83.8278931750742,110.350227708223
"C89",1.348,30,1.072,"25.6","EXP_piloto",79.5252225519288,109.774028165434
"C89",1.348,40,0.45,"160","EXP_piloto",33.3827893175074,67.1415157680235
"C89",1.348,50,0.32,"400","EXP_piloto",23.7388724035608,53.9429701364227
"C89",1.348,60,0.333,"1000","EXP_piloto",24.7032640949555,61.3212238446092
"GSH1",1.432,2,1.432,"0","EXP_piloto",100,100
"GSH1",1.432,12,1.621,"4","EXP_piloto",107.160433403251,107.160433403251
"GSH1",1.432,22,1.312,"25.6","EXP_piloto",91.6201117318436,137.053147346263
"GSH1",1.432,32,0.684,"160","EXP_piloto",47.7653631284916,83.5889327853766
"GSH1",1.432,42,0.36,"400","EXP_piloto",25.1396648044693,46.0638512760718
"GSH1",1.432,52,0.356,"1000","EXP_piloto",24.8603351955307,56.1919530796583
"REF",1.625,1,1.625,"0","EXP_piloto",100,100
"REF",1.625,11,1.808,"4","EXP_piloto",130.451166815056,130.451166815056
"REF",1.625,21,1.403,"25.6","EXP_piloto",86.3384615384615,135.272838433212
"REF",1.625,31,0.538,"160","EXP_piloto",33.1076923076923,86.5048392886887
"REF",1.625,41,0.33,"400","EXP_piloto",20.3076923076923,43.1963141997652
"REF",1.625,51,0.358,"1000","EXP_piloto",22.0307692307692,50.5731269420774
"C44",1.194,65,1.194,"0","EXP_1",100,100
"C44",1.194,75,1.381,"4","EXP_1",103.639971902657,103.639971902657
"C44",1.194,85,1.005,"25.6","EXP_1",84.1708542713568,86.2375950695492
"C44",1.194,95,0.391,"160","EXP_1",32.7470686767169,55.109878756691
"C44",1.194,105,0.18,"400","EXP_1",15.0753768844221,36.2365142696512
"C44",1.194,115,0.215,"1000","EXP_1",18.0067001675042,42.5182305529804
"C58",1.085,66,1.085,"0","EXP_1",100,100
"C58",1.085,76,1.091,"4","EXP_1",100.985033256516,100.985033256516
"C58",1.085,86,1.214,"25.6","EXP_1",101.182583238816,101.182583238816
"C58",1.085,96,0.336,"160","EXP_1",30.9677419354839,65.9231505977377
"C58",1.085,106,0.173,"400","EXP_1",15.9447004608295,44.0219223928168
"C58",1.085,116,0.231,"1000","EXP_1",21.2903225806452,48.7156212285475
"C6",1.228,64,1.228,"0","EXP_1",100,100
"C6",1.228,74,1.057,"4","EXP_1",86.0749185667752,99.5383195443757
"C6",1.228,84,0.493,"25.6","EXP_1",40.1465798045603,92.5054484259347
"C6",1.228,94,0.332,"160","EXP_1",27.0358306188925,54.4923030545079
"C6",1.228,104,0.153,"400","EXP_1",12.4592833876221,32.654129740229
"C6",1.228,114,0.217,"1000","EXP_1",17.671009771987,40.4606103967734
"C67",1.187,67,1.187,"0","EXP_1",100,100
"C67",1.187,77,1.276,"4","EXP_1",108.390999610193,108.390999610193
"C67",1.187,87,1.08,"25.6","EXP_1",90.9856781802864,111.461651507423
"C67",1.187,97,0.207,"160","EXP_1",17.4389216512216,67.902088609908
"C67",1.187,107,0.172,"400","EXP_1",14.4903117101938,50.9993393919095
"C67",1.187,117,0.272,"1000","EXP_1",22.9149115417018,52.8910132117775
"C7",1.089,63,1.089,"0","EXP_1",100,100
"C7",1.089,73,1.049,"4","EXP_1",96.3269054178145,109.659111925796
"C7",1.089,83,0.678,"25.6","EXP_1",62.2589531680441,100.395249714826
"C7",1.089,93,0.239,"160","EXP_1",21.9467401285583,63.5224735816521
"C7",1.089,103,0.136,"400","EXP_1",12.4885215794307,43.1907428413261
"C7",1.089,113,0.275,"1000","EXP_1",25.2525252525253,55.852634209666
"C73",1.19,68,1.19,"0","EXP_1",100,100
"C73",1.19,78,1.233,"4","EXP_1",97.1033929073668,97.1033929073668
"C73",1.19,88,0.926,"25.6","EXP_1",77.8151260504202,106.342824507057
"C73",1.19,98,0.317,"160","EXP_1",26.6386554621849,65.624145289373
"C73",1.19,108,0.181,"400","EXP_1",15.2100840336134,43.6430796115441
"C73",1.19,118,0.275,"1000","EXP_1",23.109243697479,45.6317834061689
"C85",1.003,69,1.003,"0","EXP_1",100,100
"C85",1.003,79,0.98,"4","EXP_1",97.7068793619143,113.341558591356
"C85",1.003,89,0.605,"25.6","EXP_1",60.3190428713858,108.06130619974
"C85",1.003,99,0.298,"160","EXP_1",29.7108673978066,72.5028549060551
"C85",1.003,109,0.196,"400","EXP_1",19.5413758723829,54.177363690308
"C85",1.003,119,0.28,"1000","EXP_1",27.9162512462612,59.0986712461663
"C89",1.187,70,1.187,"0","EXP_1",100,100
"C89",1.187,80,1.207,"4","EXP_1",110.350227708223,110.350227708223
